review_id,rating,review_text,cleaned_text,sentiment
d671144e-d2be-4974-8f78-88ec81224b52,1,parah lu. kenapa jadi gabisa di skrinsot padahal itu memudahkan pengguna wifi rumahan untuk tetap bisa chek in jkn. jd QR di skrinsot dulu tinggal scan di RS nanti. agh $***** jadi harus beli kuota kan. alasanya apa gabisa di skrinsot? alasan keamanan? emng apa. ga bisa paham dah gw. noob,parah lu kenapa jadi gabisa di skrinsot padahal itu memudahkan pengguna wifi rumahan untuk tetap bisa chek in jkn jd qr di skrinsot dulu tinggal scan di rs nanti agh jadi harus beli kuota kan alasanya apa gabisa di skrinsot alasan keamanan emng apa ga bisa paham dah gw noob,Negative
8dba18c0-9be8-4c91-a095-94e00845aa83,5,semua sekarang lebih mudah dengan Mobile JKN. perubahan FKTP I cukup klik klik di aplikasi saja,semua sekarang lebih mudah dengan mobile jkn perubahan fktp i cukup klik klik di aplikasi saja,Positive
0d13015e-bdb3-486e-8747-ada2c2e113a9,3,"Aplikasi yang ribet,walau kode Verikasi dari Email sudah di kirim/verifikasi jawabannya selalu kode Verifikasi tidak sesuai,yang sesuai itu yg gimana,,,?",aplikasi yang ribetwalau kode verikasi dari email sudah di kirimverifikasi jawabannya selalu kode verifikasi tidak sesuaiyang sesuai itu yg gimana,Neutral
12f07ce3-5de0-47d5-85cc-c31d10f2217c,5,guna kesehatan,guna kesehatan,Positive
baae5db0-f530-4a00-b92f-1eeda2ca58f8,3,segini dlu saya belum tau bener,segini dlu saya belum tau bener,Neutral
553a40e6-d2eb-4d48-b78a-c423d3da0f14,1,"aplikasi pemerintah kok seELEK gini jink, gw dah masukin NIK sama Captcha itu dah bener co tapi ga bisa ngapa-ngapain muter muter mulu gajelas",aplikasi pemerintah kok seelek gini jink gw dah masukin nik sama captcha itu dah bener co tapi ga bisa ngapangapain muter muter mulu gajelas,Negative
5dd1c4e2-f933-4075-bae3-f342301c1494,5,lumayan cukup membantu walau harus liat tutorial dulu di you tube pas perubahan data 😁,lumayan cukup membantu walau harus liat tutorial dulu di you tube pas perubahan data beaming_face_with_smiling_eyes,Positive
596f0632-f422-432c-8263-e5d9f6eb8ab2,1,"ribet, harus ada pulsa, harus ada email, verifikasi wajah, banyak dari rakyat yang sudah tidak muda lagi, captcha sulit tdk jelas, permudahlah utk mengakses, bayar tiap bulan sakit kadang2, ribet tiap daftar",ribet harus ada pulsa harus ada email verifikasi wajah banyak dari rakyat yang sudah tidak muda lagi captcha sulit tdk jelas permudahlah utk mengakses bayar tiap bulan sakit kadang ribet tiap daftar,Negative
b2f797d2-6678-4460-b3da-dc3c4d502906,3,kenapa keluar sendiri sih.. trus mau login lagi jga susah. gangguan trus..,kenapa keluar sendiri sih trus mau login lagi jga susah gangguan trus,Neutral
2b31412f-25be-4354-828e-8ddde0a58cf8,1,"nomor hp msih aktif smpai skrng udah 10thn lebih dan blm prnah daftar JKN,, giliran mau di daftarin malah udah terdaftar.. bagaimana cara mengatasinya..",nomor hp msih aktif smpai skrng udah thn lebih dan blm prnah daftar jkn giliran mau di daftarin malah udah terdaftar bagaimana cara mengatasinya,Negative
